"","Date","EntryTime","ExitTime","Direction","EntryPrice","ExecEntryPrice","ExitPrice","ExecExitPrice","StopPrice","R","Shares","NotionalPosition","MarginUsed","GrossPnL","Commission","NetPnL","ExitReason","CapitalBefore","CapitalAfter","R_Multiple"
"68",18648,2021-01-21 14:35:00,2021-01-21 15:10:00,"Short",324.539306,324.497385414704,325.260009,325.272725914291,325.260009,0.720703000000015,1128,366080.337168,36608.0337168,-874.584083533434,2.256,-876.840083533434,"SL",81332.0435088206,80455.2034252872,-1.07858646292073
"69",18649,2021-01-22 14:35:00,2021-01-22 15:35:00,"Long",325.290008,325.301967766232,324.809997,324.773073182957,324.809997,0.48001099999999,1676,545186.053408,54518.6053408,-886.42732156855,3.352,-889.77932156855,"SL",80455.2034252872,79565.4241037187,-1.10600503587377
"70",18652,2021-01-25 14:35:00,2021-01-25 15:35:00,"Long",330,330.042120317064,328.890014,328.860491389865,328.890014,1.10998599999999,716,236280,23628,-846.046311874667,1.432,-847.478311874667,"SL",79565.4241037187,78717.945791844,-1.06634581625288
"71",18653,2021-01-26 14:35:00,2021-01-26 14:35:00,"Long",328.609985,328.633530556938,328.682006,328.660420452486,328.682006,0.0720210000000066,2395,787020.914075,78702.0914075,64.4012998390488,4.79,59.6112998390488,"SL",78717.945791844,78777.557091683,0.345592196007569
"72",18654,2021-01-27 14:35:00,2021-01-27 20:55:00,"Short",322.75,322.732038070469,319.769989,319.792358851596,326.269989,3.51998900000001,223,71973.25,7197.325,655.5484658087,0.446,655.1024658087,"Timed",78777.557091683,79432.6595574917,0.834570567940152
"73",18655,2021-01-28 14:35:00,2021-01-28 14:35:00,"Long",320.929992,320.946910123693,320.48001,320.451652825779,320.48001,0.449982000000034,1765,566441.43588,56644.143588,-874.129130819329,3.53,-877.659130819329,"SL",79432.6595574917,78555.0004266724,-1.10506042000479
"74",18656,2021-01-29 14:35:00,2021-01-29 14:35:00,"Long",319,319.017142004123,319.109985,319.088180016183,319.109985,0.109984999999995,2462,785378,78537.8,174.895585690602,4.924,169.971585690602,"SL",78555.0004266724,78724.972012363,0.627703887435099
"75",18659,2021-02-01 14:35:00,2021-02-01 14:45:00,"Long",319.040008,319.062656717655,318.059997,318.04818129606,318.059997,0.98001099999999,803,256189.126424,25618.9126424,-814.623763540712,1.606,-816.229763540712,"SL",78724.972012363,77908.7422488223,-1.03720817582141
"76",18660,2021-02-02 14:35:00,2021-02-02 20:55:00,"Long",326.179992,326.188630482261,327.760009,327.74720915841,325.339996,0.839996000000042,927,302368.852584,30236.8852584,1444.80243279071,1.854,1442.94843279071,"Timed",77908.7422488223,79351.690681613,1.85307867674317
"77",18661,2021-02-03 14:35:00,2021-02-03 20:55:00,"Short",329.5,329.47627583969,326.329986,326.364189955744,330.195007,0.695006999999976,1141,375959.5,37595.95,3550.88999358259,2.282,3548.60799358259,"Timed",79351.690681613,82900.2986751956,4.4748986469867
